Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
294     1       2677.45      1338.73    1        2676.00      1338.00
295     1       2686.35      1343.18    1        2684.80      1342.40
296     1       2695.25      1347.63    1        2693.70      1346.85
297     0       2704.15      1352.08    1        2702.60      1351.30
298     0       2714.95      1357.48    1        2714.20      1357.10
299     1       2723.95      1361.98    1        2723.00      1361.50
300     1       2732.95      1366.48    1        2732.00      1366.00
301     1       2741.95      1370.98    1        2740.90      1370.45
302     1       2750.95      1375.48    1        2749.80      1374.90
303     1       2759.95      1379.98    1        2758.70      1379.35
304     1       2768.95      1384.48    1        2767.60      1383.80
305     1       2777.75      1388.88    1        2776.50      1388.25
306     1       2786.65      1393.33    1        2785.40      1392.70
307     1       2795.55      1397.78    1        2794.30      1397.15
308     1       2804.45      1402.23    1        2803.20      1401.60
309     1       2813.35      1406.68    1        2812.10      1406.05
310     1       2822.25      1411.13    1        2821.10      1410.55
311     1       2831.15      1415.58    1        2830.00      1415.00
312     1       2840.05      1420.03    1        2839.30      1419.65
313     1       2848.95      1424.48    1        2848.10      1424.05
314     1       2857.90      1428.95    1        2857.30      1428.65
315     1       2866.90      1433.45    1        2866.30      1433.15
316     1       2875.90      1437.95    1        2875.30      1437.65
317     1       2884.90      1442.45    1        2884.30      1442.15
318     1       2893.90      1446.95    1        2893.30      1446.65
319     1       2902.90      1451.45    1        2902.10      1451.05
320     1       2911.90      1455.95    1        2911.20      1455.60
321     1       2920.70      1460.35    1        2920.00      1460.00
322     1       2929.60      1464.80    1        2928.90      1464.45
323     1       2938.50      1469.25    1        2937.80      1468.90
324     1       2947.90      1473.95    1        2947.20      1473.60
325     1       2966.70      1483.35    1        2966.60      1483.30
326     1       2975.60      1487.80    1        2975.50      1487.75
327     1       2984.50      1492.25    1        2984.40      1492.20
328     1       2993.40      1496.70    1        2993.30      1496.65
329     1       3002.40      1501.20    1        3002.30      1501.15
330     1       3011.40      1505.70    1        3011.30      1505.65
331     1       3020.20      1510.10    1        3020.00      1510.00
332     1       3029.10      1514.55    1        3028.90      1514.45
333     1       3038.00      1519.00    1        3037.80      1518.90
334     1       3046.90      1523.45    1        3046.70      1523.35
335     1       3055.80      1527.90    1        3055.60      1527.80
336     1       3064.70      1532.35    1        3064.50      1532.25
337     1       3073.60      1536.80    1        3073.40      1536.70
338     1       3082.50      1541.25    1        3082.30      1541.15
339     1       3091.40      1545.70    1        3091.20      1545.60
340     1       3100.20      1550.10    1        3100.00      1550.00
341     1       3109.00      1554.50    1        3108.80      1554.40
342     1       3117.90      1558.95    1        3117.70      1558.85
343     1       3126.80      1563.40    1        3126.60      1563.30
344     1       3135.70      1567.85    1        3135.50      1567.75
345     1       3144.60      1572.30    1        3144.40      1572.20
346     1       3153.50      1576.75    1        3153.30      1576.65
347     1       3162.40      1581.20    1        3162.20      1581.10
348     1       3171.30      1585.65    1        3171.10      1585.55
349     1       3180.20      1590.10    1        3180.00      1590.00
350     1       3189.10      1594.55    1        3188.80      1594.40
351     0       3198.00      1599.00    1        3197.60      1598.80
352     1       3209.00      1604.50    1        3208.70      1604.35
353     1       3217.90      1608.95    1        3217.60      1608.80
354     1       3226.70      1613.35    1        3226.40      1613.20
355     1       3235.60      1617.80    1        3235.30      1617.65
356     1       3244.60      1622.30    1        3244.20      1622.10
357     1       3253.50      1626.75    1        3253.20      1626.60
358     1       3262.40      1631.20    1        3262.10      1631.05
359     1       3271.30      1635.65    1        3271.00      1635.50
360     1       3280.20      1640.10    1        3279.90      1639.95
361     1       3288.90      1644.45    1        3288.60      1644.30
362     1       3297.60      1648.80    1        3297.30      1648.65
363     1       3306.40      1653.20    1        3306.30      1653.15
364     1       3315.60      1657.80    1        3315.50      1657.75
365     1       3324.30      1662.15    1        3324.20      1662.10
366     1       3333.20      1666.60    1        3333.10      1666.55
367     1       3342.10      1671.05    1        3342.00      1671.00
368     1       3351.00      1675.50    1        3350.90      1675.45
369     1       3359.90      1679.95    1        3359.80      1679.90
370     1       3368.80      1684.40    1        3368.70      1684.35
371     1       3377.70      1688.85    1        3377.60      1688.80
372     1       3386.70      1693.35    1        3386.60      1693.30
373     1       3395.40      1697.70    1        3395.30      1697.65
374     1       3404.40      1702.20    1        3404.30      1702.15
375     1       3413.40      1706.70    1        3413.30      1706.65
376     1       3422.30      1711.15    1        3422.20      1711.10
377     1       3431.60      1715.80    1        3431.50      1715.75
378     1       3440.80      1720.40    1        3440.70      1720.35
379     1       3459.70      1729.85    1        3458.90      1729.45
380     1       3468.30      1734.15    1        3467.90      1733.95
